"Hora","Voltage[V]","ε Voltage[V]","Current[µA]","ε Current[µA]","Pressure[Pa]","ε Pressure[Pa]"
"2022-11-16 15:40:15.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:16.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:17.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:18.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:19.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:20.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:21.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:22.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:23.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:24.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:25.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:26.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:27.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:28.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:29.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:30.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:31.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:32.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:33.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:34.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:35.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:36.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:37.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:38.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:39.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:40.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:41.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:42.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:40:43.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:44.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:45.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:46.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:47.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:48.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:49.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:50.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:51.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:52.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:53.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:54.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:55.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:56.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:57.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:58.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:40:59.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:00.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:01.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:02.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:03.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:04.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:05.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:06.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:07.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:08.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:09.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:10.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:11.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:12.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:13.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:14.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:15.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:16.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:17.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:18.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:19.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:20.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:21.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:22.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:23.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:24.514","-0,07","0,00001","0,01","0,00001","2,10","0,00001"
"2022-11-16 15:41:25.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:41:26.514","-0,07","0,00001","0,01","0,00001","2,00","0,00001"
"2022-11-16 15:41:27.514","-0,07","0,00001","0,01","0,00001","1,90","0,00001"
"2022-11-16 15:41:28.514","-0,07","0,00001","0,01","0,00001","1,70","0,00001"
"2022-11-16 15:41:29.514","-0,07","0,00001","0,01","0,00001","1,60","0,00001"
"2022-11-16 15:41:30.514","-0,07","0,00001","0,01","0,00001","1,50","0,00001"
"2022-11-16 15:41:31.514","-0,07","0,00001","0,01","0,00001","1,40","0,00001"
"2022-11-16 15:41:32.514","-0,07","0,00001","0,01","0,00001","1,40","0,00001"
"2022-11-16 15:41:33.514","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 15:41:34.514","-0,07","0,00001","0,01","0,00001","1,20","0,00001"
"2022-11-16 15:41:35.514","-0,07","0,00001","0,01","0,00001","1,10","0,00001"
"2022-11-16 15:41:36.514","-0,07","0,00001","0,01","0,00001","1,10","0,00001"
"2022-11-16 15:41:37.514","-0,07","0,00001","0,01","0,00001","1,00","0,00001"
"2022-11-16 15:41:38.514","-0,07","0,00001","0,01","0,00001","0,99","0,00001"
"2022-11-16 15:41:39.514","-0,07","0,00001","0,01","0,00001","0,95","0,00001"
"2022-11-16 15:41:40.514","-0,07","0,00001","0,01","0,00001","0,92","0,00001"
"2022-11-16 15:41:41.514","-0,07","0,00001","0,01","0,00001","0,88","0,00001"
"2022-11-16 15:41:42.514","-0,07","0,00001","0,01","0,00001","0,85","0,00001"
"2022-11-16 15:41:43.514","-0,07","0,00001","0,01","0,00001","0,82","0,00001"
"2022-11-16 15:41:44.514","-0,07","0,00001","0,01","0,00001","0,78","0,00001"
"2022-11-16 15:41:45.514","-0,07","0,00001","0,01","0,00001","0,75","0,00001"
"2022-11-16 15:41:46.514","-0,07","0,00001","0,01","0,00001","0,72","0,00001"
"2022-11-16 15:41:47.514","-0,07","0,00001","0,01","0,00001","0,69","0,00001"
"2022-11-16 15:41:48.514","-0,07","0,00001","0,01","0,00001","0,67","0,00001"
"2022-11-16 15:41:49.514","-0,07","0,00001","0,01","0,00001","0,65","0,00001"
"2022-11-16 15:41:50.514","-0,07","0,00001","0,01","0,00001","0,63","0,00001"
"2022-11-16 15:41:51.514","-0,07","0,00001","0,01","0,00001","0,61","0,00001"
"2022-11-16 15:41:52.514","-0,07","0,00001","0,01","0,00001","0,59","0,00001"
"2022-11-16 15:41:53.514","-0,07","0,00001","0,01","0,00001","0,58","0,00001"
"2022-11-16 15:41:54.514","-0,07","0,00001","0,01","0,00001","0,56","0,00001"
"2022-11-16 15:41:55.514","-0,07","0,00001","0,01","0,00001","0,54","0,00001"
"2022-11-16 15:41:56.514","-0,07","0,00001","0,01","0,00001","0,53","0,00001"
"2022-11-16 15:41:57.514","-0,07","0,00001","0,01","0,00001","0,51","0,00001"
"2022-11-16 15:41:58.514","-0,07","0,00001","0,01","0,00001","0,50","0,00001"
"2022-11-16 15:41:59.514","-0,07","0,00001","0,01","0,00001","0,48","0,00001"
"2022-11-16 15:42:00.514","-0,07","0,00001","0,01","0,00001","0,47","0,00001"
"2022-11-16 15:42:01.514","-0,07","0,00001","0,01","0,00001","0,45","0,00001"
"2022-11-16 15:42:02.514","-0,07","0,00001","0,01","0,00001","0,44","0,00001"
"2022-11-16 15:42:03.514","-0,07","0,00001","0,01","0,00001","0,43","0,00001"
"2022-11-16 15:42:04.514","-0,07","0,00001","0,01","0,00001","0,51","0,00001"
"2022-11-16 15:42:05.514","-0,07","0,00001","0,01","0,00001","1,10","0,00001"
"2022-11-16 15:42:06.514","-0,07","0,00001","0,01","0,00001","1,20","0,00001"
"2022-11-16 15:42:07.514","-0,07","0,00001","0,01","0,00001","1,20","0,00001"
"2022-11-16 15:42:08.514","-0,07","0,00001","0,01","0,00001","1,20","0,00001"
"2022-11-16 15:42:09.514","-0,07","0,00001","0,01","0,00001","1,20","0,00001"
"2022-11-16 15:42:10.514","-0,07","0,00001","0,01","0,00001","1,20","0,00001"
"2022-11-16 15:42:11.514","-0,07","0,00001","0,01","0,00001","1,20","0,00001"
"2022-11-16 15:42:12.514","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 15:42:13.514","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 15:42:14.514","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 15:42:14.515","3,49","0,00001","-3,92","0,00001","0,00","0,00001"
"2022-11-16 15:42:14.516","6,00","0,00001","0,33","0,00001","0,00","0,00001"
"2022-11-16 15:42:14.517","8,51","0,00001","5,24","0,00001","0,00","0,00001"
"2022-11-16 15:42:14.518","11,55","0,00001","9,50","0,00001","0,00","0,00001"
"2022-11-16 15:42:14.519","13,66","0,00001","14,74","0,00001","0,00","0,00001"
"2022-11-16 15:42:14.520","15,78","0,00001","19,32","0,00001","0,00","0,00001"
"2022-11-16 15:42:14.521","18,15","0,00001","23,25","0,00001","0,00","0,00001"
"2022-11-16 15:42:14.522","20,93","0,00001","27,83","0,00001","0,00","0,00001"
"2022-11-16 15:42:14.523","24,23","0,00001","31,76","0,00001","0,00","0,00001"
