"Time","Voltage[V]","ε Voltage[V]","Current[µA]","ε Current[µA]","Pressure[Pa]","ε Pressure[Pa]"
"2022-11-16 16:09:51.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:09:52.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:09:53.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:09:54.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:09:55.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:09:56.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:09:57.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:09:58.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:09:59.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:00.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:01.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:02.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:03.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:04.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:05.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:06.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:07.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:08.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:09.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:10.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:11.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:12.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:13.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:14.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:15.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:16.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:17.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:18.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:19.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:20.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:21.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:22.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:23.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:24.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:25.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:26.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:27.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:28.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:29.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:30.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:31.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:32.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:33.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:34.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:35.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:36.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:37.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:38.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:39.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:40.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:41.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:42.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:43.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:44.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:45.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:46.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:47.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:48.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:49.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:50.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:51.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:52.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:53.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:54.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:55.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:56.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:57.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:58.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:10:59.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:11:00.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:11:01.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:11:02.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:11:03.790","-0.07","0.00001","0.01","0.00001","2.70","0.00001"
"2022-11-16 16:11:04.790","-0.07","0.00001","0.01","0.00001","2.30","0.00001"
"2022-11-16 16:11:05.790","-0.07","0.00001","0.01","0.00001","2.00","0.00001"
"2022-11-16 16:11:06.790","-0.07","0.00001","0.01","0.00001","1.90","0.00001"
"2022-11-16 16:11:07.790","-0.07","0.00001","0.01","0.00001","1.80","0.00001"
"2022-11-16 16:11:08.790","-0.07","0.00001","0.01","0.00001","1.70","0.00001"
"2022-11-16 16:11:09.790","-0.07","0.00001","0.01","0.00001","1.60","0.00001"
"2022-11-16 16:11:10.790","-0.07","0.00001","0.01","0.00001","1.50","0.00001"
"2022-11-16 16:11:11.790","-0.07","0.00001","0.01","0.00001","1.50","0.00001"
"2022-11-16 16:11:12.790","-0.07","0.00001","0.01","0.00001","1.40","0.00001"
"2022-11-16 16:11:13.790","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:11:14.790","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:11:15.790","-0.07","0.00001","0.01","0.00001","1.20","0.00001"
"2022-11-16 16:11:16.790","-0.07","0.00001","0.01","0.00001","1.10","0.00001"
"2022-11-16 16:11:17.790","-0.07","0.00001","0.01","0.00001","1.10","0.00001"
"2022-11-16 16:11:18.790","-0.07","0.00001","0.01","0.00001","1.00","0.00001"
"2022-11-16 16:11:19.790","-0.07","0.00001","0.01","0.00001","0.99","0.00001"
"2022-11-16 16:11:20.790","-0.07","0.00001","0.01","0.00001","0.95","0.00001"
"2022-11-16 16:11:21.790","-0.07","0.00001","0.01","0.00001","0.92","0.00001"
"2022-11-16 16:11:22.790","-0.07","0.00001","0.01","0.00001","0.89","0.00001"
"2022-11-16 16:11:23.790","-0.07","0.00001","0.01","0.00001","0.85","0.00001"
"2022-11-16 16:11:24.790","-0.07","0.00001","0.01","0.00001","0.82","0.00001"
"2022-11-16 16:11:25.790","-0.07","0.00001","0.01","0.00001","0.79","0.00001"
"2022-11-16 16:11:26.790","-0.07","0.00001","0.01","0.00001","0.76","0.00001"
"2022-11-16 16:11:27.790","-0.07","0.00001","0.01","0.00001","0.73","0.00001"
"2022-11-16 16:11:28.790","-0.07","0.00001","0.01","0.00001","0.70","0.00001"
"2022-11-16 16:11:29.790","-0.07","0.00001","0.01","0.00001","0.68","0.00001"
"2022-11-16 16:11:30.790","-0.07","0.00001","0.01","0.00001","0.66","0.00001"
"2022-11-16 16:11:31.790","-0.07","0.00001","0.01","0.00001","0.64","0.00001"
"2022-11-16 16:11:32.790","-0.07","0.00001","0.01","0.00001","0.62","0.00001"
"2022-11-16 16:11:33.790","-0.07","0.00001","0.01","0.00001","0.60","0.00001"
"2022-11-16 16:11:34.790","-0.07","0.00001","0.01","0.00001","0.58","0.00001"
"2022-11-16 16:11:35.790","-0.07","0.00001","0.01","0.00001","0.57","0.00001"
"2022-11-16 16:11:36.790","-0.07","0.00001","0.01","0.00001","0.55","0.00001"
"2022-11-16 16:11:37.790","-0.07","0.00001","0.01","0.00001","0.54","0.00001"
"2022-11-16 16:11:38.790","-0.07","0.00001","0.01","0.00001","0.52","0.00001"
"2022-11-16 16:11:39.790","-0.07","0.00001","0.01","0.00001","0.51","0.00001"
"2022-11-16 16:11:40.790","-0.07","0.00001","0.01","0.00001","0.49","0.00001"
"2022-11-16 16:11:41.790","-0.07","0.00001","0.01","0.00001","0.48","0.00001"
"2022-11-16 16:11:42.790","-0.07","0.00001","0.01","0.00001","0.46","0.00001"
"2022-11-16 16:11:43.790","-0.07","0.00001","0.01","0.00001","0.45","0.00001"
