"Time","Voltage[V]","ε Voltage[V]","Current[µA]","ε Current[µA]","Pressure[Pa]","ε Pressure[Pa]"
"2022-11-16 16:28:31.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:32.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:33.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:34.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:35.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:36.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:37.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:38.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:39.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:40.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:41.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:42.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:43.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:44.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:45.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:46.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:47.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:48.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:49.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:50.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:51.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:52.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:53.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:54.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:55.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:56.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:57.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
"2022-11-16 16:28:58.461","-0.07","0.00001","0.01","0.00001","1.30","0.00001"
