t,x,y
s,m,m
0,0.081,0.163
0.033,0.081,-0.244
0.067,0.081,-0.732
0.1,0.081,-1.098
0.133,0.081,-1.424
0.167,0.081,-1.709
0.2,0.122,-1.912
0.233,0.081,-1.953
0.267,0.081,-1.953
0.3,0.081,-1.831
0.333,0.122,-1.546
0.367,0.122,-1.302
0.4,0.081,-0.976
0.433,0.122,-0.488
0.467,0.122,-0.122
0.5,0.122,0.244
0.533,0.163,0.651
0.567,0.285,0.895
0.6,0.325,1.098
0.633,0.325,1.261
0.667,0.325,1.302
0.7,0.325,1.22
0.733,0.325,1.098
0.767,0.285,0.854
0.8,0.122,0.488
0.833,0.163,0.203
0.867,0.122,-0.163
0.9,0.122,-0.57
0.933,0.122,-0.895
0.967,0.122,-1.139
1,0.122,-1.465
1.033,0.081,-1.627
1.067,0.122,-1.668
1.1,0.041,-1.709
1.133,0.122,-1.627
1.167,0.122,-1.424
1.2,0.081,-1.261
1.233,0.122,-0.936
1.267,0.122,-0.57
1.3,0.163,-0.244
1.333,0.122,0.081
1.367,0.163,0.448
1.4,0.203,0.692
1.433,0.163,0.854
1.467,0.122,1.017
1.5,0.163,1.058
1.533,0.203,1.017
1.567,0.285,0.936
1.6,0.244,0.773
1.633,0.244,0.448
1.667,0.203,0.244
1.7,0.081,-0.122
1.733,0.122,-0.448
1.767,0.122,-0.732
1.8,0.122,-0.976
1.833,0.122,-1.261
1.867,0.122,-1.383
1.9,0.122,-1.465
1.933,0.122,-1.546
1.967,0.122,-1.465
2,0.081,-1.302
2.033,0.122,-1.18
2.067,0.122,-0.936
2.1,0.122,-0.61
2.133,0.122,-0.325
2.167,0.122,-0.041
2.2,0.122,0.285
2.233,0.203,0.488
2.267,0.163,0.692
2.3,0.122,0.854
2.333,0.122,0.895
2.367,0.163,0.854
2.4,0.203,0.814
2.433,0.244,0.651
2.467,0.203,0.407
2.5,0.203,0.244
2.533,0.122,-0.041
2.567,0.122,-0.366
2.6,0.122,-0.61
2.633,0.122,-0.854
2.667,0.122,-1.098
2.7,0.122,-1.22
2.733,0.122,-1.302
2.767,0.122,-1.383
2.8,0.122,-1.343
2.833,0.122,-1.22
2.867,0.122,-1.098
2.9,0.122,-0.895
2.933,0.122,-0.61
2.967,0.122,-0.407
3,0.163,-0.122
3.033,0.163,0.163
3.067,0.122,0.325
3.1,0.203,0.529
3.133,0.203,0.692
3.167,0.163,0.692
3.2,0.163,0.732
3.233,0.163,0.692
3.267,0.203,0.57
3.3,0.163,0.407
3.333,0.122,0.244
3.367,0.122,-0.041
3.4,0.122,-0.285
3.433,0.122,-0.488
3.467,0.081,-0.732
3.5,0.041,-0.936
3.533,0.081,-1.058
3.567,0.081,-1.139
3.6,0.041,-1.261
3.633,0.081,-1.22
3.667,0.122,-1.139
3.7,0.081,-1.058
3.733,0.081,-0.854
3.767,0.081,-0.651
3.8,0.122,-0.448
3.833,0.122,-0.203
3.867,0.122,0.041
3.9,0.122,0.203
3.933,0.122,0.407
3.967,0.163,0.529
4,0.203,0.57
