Sample Nº,Date,Time,Milliseconds,Voltage [V],? Voltage [V],Current [?A],? Current [?A],Pressure [mBar],? Pressure [mBar]
1,15-03-2018,10:21:39,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
2,15-03-2018,10:21:49,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
3,15-03-2018,10:21:59,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
4,15-03-2018,10:22:09,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
5,15-03-2018,10:22:19,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
6,15-03-2018,10:22:29,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
7,15-03-2018,10:22:39,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
8,15-03-2018,10:22:49,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
9,15-03-2018,10:22:59,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
10,15-03-2018,10:23:09,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
11,15-03-2018,10:23:19,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
12,15-03-2018,10:23:29,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
13,15-03-2018,10:23:39,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
14,15-03-2018,10:23:49,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
15,15-03-2018,10:23:59,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
16,15-03-2018,10:24:09,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
17,15-03-2018,10:24:19,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
18,15-03-2018,10:24:29,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
19,15-03-2018,10:24:39,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
20,15-03-2018,10:24:49,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
21,15-03-2018,10:24:59,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
22,15-03-2018,10:25:09,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
23,15-03-2018,10:25:19,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
24,15-03-2018,10:25:29,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
25,15-03-2018,10:25:39,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
26,15-03-2018,10:25:49,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
27,15-03-2018,10:25:59,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
28,15-03-2018,10:26:09,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
29,15-03-2018,10:26:19,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
30,15-03-2018,10:26:29,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
31,15-03-2018,10:26:39,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
32,15-03-2018,10:26:49,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
33,15-03-2018,10:26:59,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
34,15-03-2018,10:27:09,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
35,15-03-2018,10:27:19,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
36,15-03-2018,10:27:29,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
37,15-03-2018,10:27:39,546,-74.82E-3,10E-6,5.64E-3,10E-6,3.1,10E-6
